n_zero,frac_zero,max_intensity,bbox_aspect,bbox_fill,width,height,empty_mask,filepath,class_label,label_index,assigned_split
14095,0.053768157958984375,255,1.0353773584905661,0.1624672282632054,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_86.jpg,meningioma,1,train
7083,0.027019500732421875,255,1.0533642691415313,0.20057340270040985,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_257.jpg,meningioma,1,train
7262,0.02770233154296875,255,1.0692124105011933,0.16966949369246506,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_774.jpg,meningioma,1,train
31665,0.12079238891601562,255,1.0363636363636364,0.20603568580542264,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_59.jpg,meningioma,1,train
7005,0.026721954345703125,255,1.0767441860465117,0.2022602842935356,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_344.jpg,meningioma,1,train
43587,0.16627120971679688,255,1.2264705882352942,0.1596416984059811,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_442.jpg,meningioma,1,train
43842,0.16724395751953125,252,1.2351190476190477,0.12076878944348823,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_866.jpg,meningioma,1,train
7064,0.026947021484375,255,1.1728045325779037,0.23751556705122415,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_94.jpg,meningioma,1,train
45612,0.1739959716796875,254,1.1148036253776434,0.27977140798598316,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_211.jpg,meningioma,1,train
46693,0.17811965942382812,255,1.146417445482866,0.27399092509819856,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_328.jpg,meningioma,1,train
87584,0.3341064453125,254,1.1211180124223603,0.0991035942258392,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_86.jpg,meningioma,1,train
71360,0.272216796875,255,1.0865384615384615,0.15216322517207473,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_669.jpg,meningioma,1,train
69785,0.2662086486816406,255,1.0763888888888888,0.13834005376344086,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_104.jpg,meningioma,1,train
73817,0.2815895080566406,255,1.12,0.10103972950126797,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_212.jpg,meningioma,1,train
72864,0.2779541015625,255,1.103125,0.12077726628895184,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_814.jpg,meningioma,1,train
104177,0.3974037170410156,255,1.0956284153005464,0.16994399247782183,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_1.jpg,meningioma,1,train
109928,0.419342041015625,255,1.1095505617977528,0.18240648556393116,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_29.jpg,meningioma,1,train
72446,0.27635955810546875,252,1.105263157894737,0.16596199640375175,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1285.jpg,meningioma,1,train
69156,0.2638092041015625,254,1.0771349862258952,0.28314063677932544,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_686.jpg,meningioma,1,train
85826,0.32740020751953125,255,1.2017543859649122,0.06371565572487585,512,512,False,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_1046.jpg,glioma,0,train
72355,0.2760124206542969,255,0.8521739130434782,0.25889776200335207,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_815.jpg,meningioma,1,train
74568,0.284454345703125,255,0.8642659279778393,0.19090489381348108,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1255.jpg,meningioma,1,train
75635,0.2885246276855469,255,0.9358288770053476,0.13798319327731093,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_773.jpg,meningioma,1,train
75775,0.2890586853027344,253,0.9064171122994652,0.15370782263025887,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_85.jpg,meningioma,1,train
75254,0.28707122802734375,255,0.8885869565217391,0.18212338784736073,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_185.jpg,meningioma,1,train
71821,0.2739753723144531,255,1.103658536585366,0.14369694111305753,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_79.jpg,meningioma,1,train
78650,0.30002593994140625,250,1.1393188854489165,0.14615863507874546,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_97.jpg,meningioma,1,train
81285,0.3100776672363281,255,1.2207792207792207,0.10499274661508703,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/glioma/Te-gl_366.jpg,glioma,0,train
82079,0.3131065368652344,255,1.2371794871794872,0.11650557991231567,512,512,False,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_882.jpg,glioma,0,train
73955,0.2821159362792969,255,1.1134328358208956,0.12935056620383337,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_185.jpg,meningioma,1,train
77974,0.29744720458984375,250,1.2215189873417722,0.07708073719420214,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_793.jpg,meningioma,1,train
76854,0.29317474365234375,255,1.1806451612903226,0.10653974969152125,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_30.jpg,meningioma,1,train
77458,0.29547882080078125,255,1.1936507936507936,0.12660418777440055,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_586.jpg,meningioma,1,train
78925,0.3010749816894531,250,1.2120253164556962,0.05698681296889976,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_152.jpg,meningioma,1,train
5242,0.01999664306640625,255,1.1544303797468354,0.1250277592715967,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_348.jpg,meningioma,1,train
5058,0.01929473876953125,255,1.1501210653753027,0.11429081177520072,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_893.jpg,meningioma,1,train
5179,0.019756317138671875,255,1.102439024390244,0.11152600906540039,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_551.jpg,meningioma,1,train
5305,0.020236968994140625,255,1.1692307692307693,0.10193994601889339,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_292.jpg,meningioma,1,train
388,0.0020604650915791766,255,1.0440097799511003,0.27181736456657296,441,427,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_229.jpg,meningioma,1,train
388,0.0020604650915791766,255,1.0440097799511003,0.27181736456657296,441,427,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_688.jpg,meningioma,1,train
333,0.006788160469667319,255,1.0528846153846154,0.2719309799789252,224,219,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_293.jpg,meningioma,1,train
333,0.006788160469667319,255,1.0528846153846154,0.2719309799789252,224,219,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_799.jpg,meningioma,1,train
76336,0.29119873046875,255,1.2634920634920634,0.06339634681343224,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1093.jpg,meningioma,1,train
73936,0.28204345703125,255,1.25,0.14869411953212627,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_37.jpg,meningioma,1,train
70111,0.2674522399902344,255,1.211726384364821,0.15472312703583063,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_252.jpg,meningioma,1,train
72701,0.2773323059082031,255,1.2300319488817892,0.1280195842496162,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_531.jpg,meningioma,1,train
5420,0.0206756591796875,255,0.9387755102040817,0.14981870364893138,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_781.jpg,meningioma,1,train
5489,0.020938873291015625,252,0.9976133651551312,0.14173641959096048,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_577.jpg,meningioma,1,train
5161,0.019687652587890625,255,0.8923076923076924,0.16243707031884372,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1199.jpg,meningioma,1,train
5112,0.019500732421875,255,1.0090702947845804,0.17284007235853144,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_134.jpg,meningioma,1,train
6144,0.0234375,255,1.0533642691415313,0.20333309484141993,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1126.jpg,meningioma,1,train
6352,0.02423095703125,255,1.0763723150357996,0.1709327985013415,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_164.jpg,meningioma,1,train
14255,0.054378509521484375,255,1.0249433106575965,0.1944996287600586,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_87.jpg,meningioma,1,train
6005,0.022907257080078125,255,1.074245939675174,0.2048177677108337,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_949.jpg,meningioma,1,train
11377,0.043399810791015625,255,1.0845771144278606,0.20949153315988864,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_7.jpg,meningioma,1,train
60337,0.23016738891601562,255,1.2023809523809523,0.09470031824611033,512,512,False,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_94.jpg,glioma,0,train
4522,0.01725006103515625,255,1.1227621483375958,0.2103303835151967,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_677.jpg,meningioma,1,train
59856,0.22833251953125,255,1.2202898550724637,0.08094598781369411,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/glioma/Te-gl_21.jpg,glioma,0,train
71412,0.2724151611328125,255,1.0666666666666667,0.18328609221466363,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_420.jpg,meningioma,1,train
75006,0.28612518310546875,255,1.105740181268882,0.12328925428821422,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_25.jpg,meningioma,1,train
103133,0.3934211730957031,254,1.0938511326860842,0.1815074395358189,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_6.jpg,meningioma,1,train
73728,0.28125,255,1.0828220858895705,0.16694763551677994,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1241.jpg,meningioma,1,train
72655,0.2771568298339844,255,1.1675977653631284,0.10683355162919997,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_945.jpg,meningioma,1,train
73420,0.2800750732421875,255,1.0880829015544042,0.12318652849740933,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_222.jpg,meningioma,1,train
73552,0.28057861328125,252,1.1708683473389356,0.10453942342487234,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1076.jpg,meningioma,1,train
78786,0.30054473876953125,255,1.170391061452514,0.1045519393074759,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_1.jpg,meningioma,1,train
6329,0.024143218994140625,255,0.9952038369304557,0.11706682846493889,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1287.jpg,meningioma,1,train
6590,0.02513885498046875,255,1.0813648293963254,0.12665316107331243,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_99.jpg,meningioma,1,train
23039,0.08788681030273438,255,0.9833729216152018,0.1136527935557162,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_67.jpg,meningioma,1,train
6758,0.02577972412109375,255,1.0375,0.13286746987951809,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1109.jpg,meningioma,1,train
45,0.0008914244963451596,255,1.1232227488151658,0.16393704881316615,213,237,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_543.jpg,meningioma,1,train
45,0.0008914244963451596,255,1.1232227488151658,0.16393704881316615,213,237,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_252.jpg,meningioma,1,train
1,8.88320363856021e-06,255,1.120253164556962,0.16426196095258527,318,354,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1069.jpg,meningioma,1,train
1,8.88320363856021e-06,255,1.120253164556962,0.16426196095258527,318,354,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_2.jpg,meningioma,1,train
36101,0.13771438598632812,255,1.1391076115485563,0.20370235978567194,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_22.jpg,meningioma,1,train
7661,0.029224395751953125,255,1.1544715447154472,0.2626372507856534,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_211.jpg,meningioma,1,train
16131,0.061534881591796875,254,1.0963541666666667,0.2546887371338084,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_15.jpg,meningioma,1,train
7125,0.027179718017578125,255,1.1070496083550914,0.21020124144046504,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_425.jpg,meningioma,1,train
8292,0.0316314697265625,255,1.1597938144329898,0.11994845360824742,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_636.jpg,meningioma,1,train
39046,0.14894866943359375,255,1.1494845360824741,0.11425153714576303,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_39.jpg,meningioma,1,train
8115,0.030956268310546875,255,1.153061224489796,0.09804497020046957,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1239.jpg,meningioma,1,train
24177,0.09222793579101562,255,1.1592689295039165,0.11427680944652224,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-aug-me_68.jpg,meningioma,1,train
18957,0.13112678979041295,255,1.1325301204819278,0.5565399897462189,366,395,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1044.jpg,meningioma,1,train
18957,0.13112678979041295,255,1.1325301204819278,0.5565399897462189,366,395,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_157.jpg,meningioma,1,train
19116,0.1318663125582037,255,1.1325301204819278,0.5565399897462189,367,395,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_238.jpg,meningioma,1,train
19116,0.1318663125582037,255,1.1325301204819278,0.5565399897462189,367,395,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_230.jpg,meningioma,1,train
23,0.0004975770162686051,237,0.9901477832512315,0.34247481802808616,214,216,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_8.jpg,meningioma,1,train
143,0.0005129492790013631,237,1.0315789473684212,0.36007303974221266,530,526,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_479.jpg,meningioma,1,train
143,0.0005129492790013631,237,1.0315789473684212,0.36007303974221266,530,526,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_278.jpg,meningioma,1,train
23,0.0004975770162686051,237,0.9901477832512315,0.34247481802808616,214,216,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_486.jpg,meningioma,1,train
26191,0.2560064903329228,255,1.4184100418410042,0.308784142382839,289,354,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_373.jpg,meningioma,1,train
25903,0.25440991592676987,255,1.4184100418410042,0.30893225213216324,286,356,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1225.jpg,meningioma,1,train
26191,0.2560064903329228,255,1.4184100418410042,0.308784142382839,289,354,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_20.jpg,meningioma,1,train
25903,0.25440991592676987,255,1.4184100418410042,0.30893225213216324,286,356,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_39.jpg,meningioma,1,train
5779,0.022045135498046875,255,1.1544303797468354,0.12388962913613147,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_827.jpg,meningioma,1,train
5857,0.022342681884765625,255,1.102439024390244,0.11064644938484783,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_42.jpg,meningioma,1,train
5711,0.021785736083984375,255,1.1501210653753027,0.11299095195616159,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_683.jpg,meningioma,1,train
5725,0.021839141845703125,255,1.1692307692307693,0.10102901484480432,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_226.jpg,meningioma,1,train
73915,0.2819633483886719,253,1.103125,0.12011331444759207,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_218.jpg,meningioma,1,train
71138,0.27136993408203125,255,1.0729166666666667,0.13718087019057892,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_634.jpg,meningioma,1,train
74638,0.28472137451171875,255,1.123456790123457,0.10083435083435083,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_10.jpg,meningioma,1,train
72171,0.2753105163574219,255,1.0865384615384615,0.1510853944482263,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_283.jpg,meningioma,1,train
70991,0.2708091735839844,255,1.1830065359477124,0.4374480915754884,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_27.jpg,meningioma,1,train
74882,0.28565216064453125,254,1.1884498480243162,0.18631985634216683,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_705.jpg,meningioma,1,train
71340,0.2721405029296875,253,1.1433333333333333,0.32164237123420797,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_23.jpg,meningioma,1,train
73230,0.27935028076171875,252,1.1886792452830188,0.22764633456457356,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_718.jpg,meningioma,1,train
8715,0.033245086669921875,255,1.1523809523809523,0.265669683851502,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_485.jpg,meningioma,1,train
87286,0.33296966552734375,253,1.2043343653250773,0.06967138093229444,512,512,False,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_258.jpg,glioma,0,train
7093,0.0310616942264574,210,1.1363636363636365,0.6147636363636364,446,512,False,data/raw/D1_nickparvar_kaggle/Training/notumor/Tr-no_274.jpg,notumor,2,train
72699,0.2773246765136719,255,1.1018518518518519,0.22804924438911367,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_74.jpg,meningioma,1,train
28875,0.5703703703703704,255,1.0357142857142858,0.548132183908046,225,225,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_202.jpg,meningioma,1,train
116145,0.5945056407526463,255,1.045731707317073,0.5488604849605347,442,442,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_208.jpg,meningioma,1,train
28875,0.5703703703703704,255,1.0357142857142858,0.548132183908046,225,225,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_465.jpg,meningioma,1,train
116145,0.5945056407526463,255,1.045731707317073,0.5488604849605347,442,442,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_421.jpg,meningioma,1,train
6985,0.026645660400390625,255,1.1623711340206186,0.12199693693281825,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_172.jpg,meningioma,1,train
6783,0.025875091552734375,255,1.1692708333333333,0.15479421863400147,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_59.jpg,meningioma,1,train
9781,0.037311553955078125,254,1.1413333333333333,0.1090031152647975,512,512,False,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_885.jpg,glioma,0,train
7164,0.0273284912109375,255,1.1287128712871286,0.1368225638353309,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_778.jpg,meningioma,1,train
21145,0.21508493540840198,255,1.236220472440945,0.4887657354932544,290,339,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_110.jpg,meningioma,1,train
22363,0.22547892720306514,255,1.236220472440945,0.4881764381363158,290,342,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_111.jpg,meningioma,1,train
22363,0.22547892720306514,255,1.236220472440945,0.4881764381363158,290,342,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_865.jpg,meningioma,1,train
21145,0.21508493540840198,255,1.236220472440945,0.4887657354932544,290,339,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_174.jpg,meningioma,1,train
35123,0.6937876543209877,255,1.2105263157894737,0.2662090007627765,225,225,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_82.jpg,meningioma,1,train
35123,0.6937876543209877,255,1.2105263157894737,0.2662090007627765,225,225,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_583.jpg,meningioma,1,train
66201,0.2525367736816406,254,1.089783281733746,0.35725091471995496,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_58.jpg,meningioma,1,train
62505,0.23843765258789062,255,1.1125827814569536,0.4607477924944812,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_382.jpg,meningioma,1,train
21892,0.45246362433862436,255,1.2134831460674158,0.3890189346650021,224,216,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_144.jpg,meningioma,1,train
133763,0.4598183593212881,255,0.9547101449275363,0.3110682561944834,552,527,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_567.jpg,meningioma,1,train
143850,0.46869501752922627,255,1.0,0.29867129768405687,554,554,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_129.jpg,meningioma,1,train
0,0.0,255,1.1168582375478928,0.19638479788121949,557,641,False,data/raw/D1_nickparvar_kaggle/Testing/glioma/Te-gl_160.jpg,glioma,0,train
430,0.0041545893719806765,255,1.1170212765957446,0.20090059664527748,300,345,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_159.jpg,meningioma,1,train
430,0.0041545893719806765,255,1.1170212765957446,0.20090059664527748,300,345,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1122.jpg,meningioma,1,train
43414,0.16561126708984375,255,1.3787375415282392,0.12730256574470641,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1251.jpg,meningioma,1,train
43799,0.16707992553710938,251,1.4155405405405406,0.14826162678191318,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_466.jpg,meningioma,1,train
43101,0.16441726684570312,255,1.3848684210526316,0.12589854981872733,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_361.jpg,meningioma,1,train
7434,0.02835845947265625,254,0.9451219512195121,0.1090567357286476,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_16.jpg,meningioma,1,train
14957,0.057056427001953125,255,0.971252566735113,0.10938958372223259,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-aug-me_80.jpg,meningioma,1,train
